timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676755328661,254,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-13,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,254,0,0
1676755328915,4501,Nikon Z-30-1,200,OK,Nion UK run-3 1-13,text,true,,185921,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,4361,0,0
1676755330983,2693,NikonUKHomepage,200,OK,Nion UK run-3 1-14,text,true,,118927,238,20,20,https://www.nikon.co.uk/en_GB/,243,0,0
1676755330983,243,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-14,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,243,0,0
1676755331227,2449,NikonUKHomepage-1,200,OK,Nion UK run-3 1-14,text,true,,118695,119,20,20,https://www.nikon.co.uk/en_GB/,2335,0,0
1676755329416,4762,Nikon Z-30,200,OK,Nion UK run-3 1-10,text,true,,186129,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,242,0,0
1676755329416,242,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-10,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,242,0,0
1676755329658,4520,Nikon Z-30-1,200,OK,Nion UK run-3 1-10,text,true,,185876,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,3923,0,0
1676755330839,3514,Nikon Z-30,200,OK,Nion UK run-3 1-5,text,true,,186120,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,243,0,0
1676755330839,243,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-5,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,243,0,0
1676755331082,3271,Nikon Z-30-1,200,OK,Nion UK run-3 1-5,text,true,,185867,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,2709,0,0
1676755333417,1001,NikonUKHomepage,200,OK,Nion UK run-3 1-13,text,true,,118717,238,20,20,https://www.nikon.co.uk/en_GB/,238,0,0
1676755333417,238,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-13,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,238,0,0
1676755333655,763,NikonUKHomepage-1,200,OK,Nion UK run-3 1-13,text,true,,118485,119,20,20,https://www.nikon.co.uk/en_GB/,611,0,0
1676755331391,3711,Nikon Z-30,200,OK,Nion UK run-3 1-11,text,true,,186084,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,243,0,0
1676755331391,243,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-11,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,243,0,0
1676755331635,3467,Nikon Z-30-1,200,OK,Nion UK run-3 1-11,text,true,,185831,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,3310,0,0
1676755331747,3658,NikonUKHomepage,200,OK,Nion UK run-3 1-12,text,true,,118895,238,20,20,https://www.nikon.co.uk/en_GB/,238,0,0
1676755331747,238,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-12,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,238,0,0
1676755331985,3420,NikonUKHomepage-1,200,OK,Nion UK run-3 1-12,text,true,,118663,119,20,20,https://www.nikon.co.uk/en_GB/,2946,0,0
